customer_id,first_name,last_name,email,city,country,signup_date,birth_date,phone,email_hash
CUST0001,ANONYMIZED,ANONYMIZED,,Grégoire,France,2024-09-17,1966-07-06,,6505c763b4ffc2342b6a39e095bc9ed04c4e96609eaf88a5517f44cb346378c8
CUST0002,Juliette,Pelletier,pagesemilie@example.org,Chevalier,France,2025-09-27,1983-02-25,0463642393,06c30b9755a112b8f77b6d7dcf97068f0f9f3c9c1c563acc09da2138a267dc4d
CUST0003,Aimée,Mary,delannoyamelie@example.net,Bertin,France,2024-04-21,1970-04-13,+33 2 14 03 93 83,04d17fafc561c7e7595842d9207d37061af5818c9af2bc701cae7e6cb9256b9d
CUST0004,Bernadette,Meunier,emilie10@example.com,Hardyboeuf,France,2024-12-26,2000-01-30,+33 4 79 93 56 47,4f36c1fa86dc1bf660cbd6c9462397ed0ee0b362b72428a504901f34df9083f3
CUST0005,Geneviève,Nguyen,josettepinto@example.net,Perrier-sur-Leroy,France,2024-03-15,1992-05-21,+33 (0)4 89 48 63 30,8c7854d9a93978d8c39d6668bd56dffa14b8f55967bfa00b8c207f39a2368e72
CUST0006,Dorothée,Guyot,invalid-email,Pichon,France,2024-03-17,1971-04-28,+33 2 90 17 63 07,79c04d3e5d03dade3e449362ffeaf1fe2e57041153cef639e60c70fd8f1276d0
CUST0007,Noémi,Masse,valentinchristophe@example.net,BrunelBourg,France,2023-09-07,1991-04-20,+33 1 77 90 14 15,8e12f1fa5290142eeb8ccd0342be382e1ee358c7d941a2a3d6415fbafb831eef
CUST0008,Émilie,Normand,bernarddidier@example.com,Masson,France,2026-02-27,1975-09-30,0339290917,28cff725e0e51e1e0341b56ad4d03dbe07b4dcb344741acbc48bb076880f34bd
CUST0009,Bernadette,Moreau,audreyvidal@example.net,Saint Alphonse-les-Bains,France,2024-04-23,2002-03-22,03 44 00 66 60,f8892fb67c28bed42031e3836862bd8c73401c74b31ac40b1df5883fda9e330c
CUST0010,Matthieu,Michel,honore23@example.com,Rolland,France,2025-12-27,1971-11-11,+33 2 62 21 63 84,25781b323b5159610cfae2164239c82571636a9521a33d78556e34f7fa9e6841
CUST0011,Manon,Legrand,mathildegarcia@example.com,Chauvin-la-Forêt,France,2026-02-14,2005-03-26,+33 2 78 61 08 18,a7714b4209e814204a71beac20cc3fe8edec782d59cac580b390a20adca0a6a7
CUST0012,Patricia,Lucas,hlagarde@example.com,Sainte Brigitte,France,2023-08-23,1973-02-18,0329491926,7bfd767b41eff18cfe96e3fdecb4bc86da6f2a03303b03558860185e0d2fe67b
CUST0013,Matthieu,Guillou,,Benoit,France,2024-05-17,1994-02-15,+33 (0)2 55 87 11 10,
CUST0014,Julien,Seguin,susanolivier@example.net,Guérin-sur-Maréchal,France,2024-03-05,1981-05-02,0457402239,f1047b9f52c4cd71c318c0e950458259c270e1d70a4dc09c2370e44d1e29b415
CUST0015,Suzanne,Costa,laetitiaroy@example.com,Saint Zoé,France,2025-04-26,1984-01-11,0177901017,dc84d2f1febe231743df3bb5c3621ce77e9e8c83332b9fcd34e1d92fa50c59e3
CUST0016,François,Pierre,eguillet@example.org,Dias-sur-Mer,France,2023-10-04,1992-08-16,+33 (0)5 94 13 54 61,ca18bccb62ef4ba50bb1d2028365268a8e9153f0c866cddc99ac1270748e4e03
CUST0017,Chantal,Dias,peltieralfred@example.com,Guibert,France,2023-12-25,1976-09-24,+33 (0)4 32 24 98 99,a18c58e83ebb95ea8e936f3a14ca497a42b2021447b854b3be1b6e68e9bd2869
CUST0018,Marguerite,Lefebvre,iweiss@example.net,Bernier-sur-Mer,France,2024-08-15,1985-08-14,0489720387,9ec26ca1f2946df9e1b44e8536bc9f8aa2f8301d70c65eff78f8284bb4b1f692
CUST0019,Margot,Andre,susanne35@example.com,Langlois,France,2025-10-16,1974-06-15,06 64 93 43 81,5807630280aa750692229572d80fbc603f88eb6fdc1948e523eac9a6532c9436
CUST0020,Marguerite,Chevallier,zacharie65@example.org,Bessonnec,France,2024-05-02,1983-09-21,0484370022,8a4d010e974b370a21f2f714fba011cfe8e30e68650f403c5c43f400fa85388b
CUST0021,Noémi,Colas,michaudelisabeth@example.net,Hardy,France,2024-09-29,1969-11-20,0489945356,def6b025dca4645b76810bf25ea23dbb77b591ea090d4b7b3fca3b5d9401ff02
CUST0022,Adèle,Aubert,morenoguillaume@example.com,Blanc,France,2024-09-23,1980-06-25,04 72 01 87 84,089c50ce5964a1ee096501d2376a2c36a984c1a78c10f94df4e04b22f56c0452
CUST0023,Hortense,Millet,adrienne45@example.com,Saint Margaud,France,2026-02-16,1972-04-09,+33 5 62 44 96 19,86fbc514a4e1cc1d4980a9065b5a6862f66d43e750cb6b79eb7714b0eb4bb2e9
CUST0024,Marthe,Bruneau,honoregay@example.net,Chartier,France,2026-01-15,1998-12-08,0180004999,8bba69ecdf91a3c0cc2d9d3900f4a37e6ac2c05edec158f5c2d4e4f958333e48
CUST0025,Camille,Roy,adele29@example.net,Mace,France,2025-04-09,2003-12-11,+33 (0)3 44 35 55 00,780a4c709c85adca14b7658bb5432d268fa553f31a1d97135900e3c7df5c2898
CUST0027,Claire,Benoit,npelletier@example.net,Delattre,France,2023-11-13,1987-10-02,01 53 92 62 09,64090fe9c5b9b5fb473eb81e6ce63135e340b270bfe3fdc336c44d92c83cc2b3
CUST0028,Adrien,Denis,nraynaud@example.org,Briand,France,2024-07-07,1978-04-07,+33 4 78 91 67 05,2ffbd5ebd8ba363fbd09bff51bab92e2a0dc2c3d4a99b9fc268392fb624db2dc
CUST0029,Julie,Lesage,fontainemartine@example.com,Guibert,France,2025-02-23,2001-11-21,05 31 52 22 20,0597bf2930cb7357f836f726d1fe229e2054f47dfe3f6d86fcfefa3da00101e4
CUST0030,Marc,Courtois,perezmarc@example.org,Millet,France,2024-12-27,1969-08-28,0238475117,df9cad82267ca0ccea917e3e9918c994241481544301fc8fdc2e5b68a3f154ff
CUST0031,Théodore,Lemaître,bourgeoischristiane@example.com,Gérard,France,2024-06-20,1976-08-24,0581783304,c711a248509fdbfdceff4b5e957c0ddc1776e3cd4e550a9772c50874d9ddfe2a
CUST0032,Gabrielle,Le Goff,honoresimon@example.org,Lacombe-la-Forêt,France,2024-06-28,1996-12-27,+33 1 46 84 87 72,5df1121cdcbf9addbb0bc0e9f31d2936792034bf7ccb4e91bfbb94222e0e94b0
CUST0033,Louise,Dos Santos,alain62@example.com,Collin,France,2025-07-14,2003-05-19,+33 5 59 61 65 29,8f2f9efd39a467ba0013d4b9adab118fd01f0b13011023254a2e402aa2de10fb
CUST0034,Claudine,Fernandes,guillotcatherine@example.net,Marty-les-Bains,France,2025-03-21,1995-10-19,05 16 02 44 87,8d8f13972ff124888b7253f56f0ff4ed1947858c90b47c9bee05fca0a47ed8d4
CUST0035,Isaac,Lemoine,pierredavid@example.net,Saint CapucineBourg,France,2026-02-11,1968-02-04,+33 (0)3 55 74 88 65,3ae878086f3a66d9fd14fa79acf6b6aef16ec35e97fd163c7becb995c1e730e0
CUST0036,Mathilde,Pages,nfrancois@example.com,Gosselin,France,2023-07-15,1992-03-27,+33 7 88 38 59 72,ee32d5916fccaef86b479d176106dbf57e39ef5ca89328f239e7b4ea4a3b6b7a
CUST0037,Paul,Vaillant,langloisandre@example.org,Gérard,France,2024-04-20,1973-02-14,02 22 21 44 31,431a0d0272528e603287beae45825b13a4a6c73c2b74ae2ae94a5670c16984c2
CUST0038,Catherine,Auger,bernardroy@example.com,Joseph,France,2025-04-13,1983-03-17,+33 2 79 20 34 22,1e6c0eb158291810b6a31b857440ec88ddadb573d94987f44257d5002e1696e9
CUST0039,Julie,Marchal,blanchardmargaud@example.org,De Sousa,France,2023-06-12,1983-07-04,03 52 73 58 69,3b3c6a6b3484d44b25846615dad98ea66e6aa57ff785f0b9b6b11fe7ae6c940f
CUST0040,Laetitia,Couturier,lebonolivier@example.com,Guillaume-les-Bains,France,2024-07-09,1973-09-25,0437625509,5eec31e1b5f36677d3a85951aed4381be1b9c0e4638766ba868efc057f17a029
CUST0041,Unknown,Bousquet,bertrandmonnier@example.com,Giraud-sur-Mer,France,2024-05-18,1970-08-26,+33 5 24 93 16 85,a3c818dd34d155cb88d9e99eb6d7b8cdf73af8819abf20ecbc2d52d30461fe27
CUST0042,Antoine,Cordier,corinne01@example.net,MenardBourg,France,2024-06-21,2007-02-17,0218566166,3f689ca10a1da12c7aad969a5e0c98faabfecd76b9cb32fb847a3a781f052c05
CUST0043,Julie,Camus,imonnier@example.com,Sainte Alphonsenec,France,2025-10-29,1966-10-19,0243703694,f547c52854c751b459f1340c17e7e7c1f79c1f99a627d7c108681767b3216cfa
CUST0044,Josette,Colin,dbouvet@example.org,PiresBourg,France,2025-12-17,1986-03-05,+33 (0)3 56 57 57 40,9a7b1b7c5129a8d487302eb9e3c1317df55ee9758fa9d75fc12d42cb042bde07
CUST0045,Raymond,Moreau,cjacob@example.org,Langlois,France,2024-07-22,1991-10-11,+33 3 20 36 35 62,724da09f7dbcc0c711f307ad854b1bf61cf02ed61a647251b152a63f96552b65
CUST0046,Pierre,Dumas,marcelleroyer@example.net,Vallet,France,2024-04-17,2002-11-26,+33 3 88 38 42 21,12c017138df758c1ce20c836d831a6f3d492cec20386bd548e74d368b81c90f3
CUST0047,Stéphane,Godard,patriciaauger@example.org,Caron,France,2025-01-23,1989-05-19,0557079556,b7336b10a7c8e4aa6044b4374e6a187294a0914f9dcda189ac8d9621861a6557
