customer_id,first_name,last_name,email,city,country,signup_date,birth_date,phone
CUST0001,Valérie,Renard,pintohenri@example.net,Grégoire,France,2024-09-17,1966-07-06,+33 2 50 57 62 14
CUST0002,Juliette,Pelletier,pagesemilie@example.org,Chevalier,France,2025-09-27,1983-02-25,0463642393
CUST0003,Aimée,Mary,delannoyamelie@example.net,Bertin,France,2024-04-21,1970-04-13,+33 2 14 03 93 83
CUST0004,Bernadette,Meunier,emilie10@example.com,Hardyboeuf,France,2024-12-26,2000-01-30,+33 4 79 93 56 47
CUST0005,Geneviève,Nguyen,josettepinto@example.net,Perrier-sur-Leroy,France,2024-03-15,1992-05-21,+33 (0)4 89 48 63 30
CUST0006,Dorothée,Guyot,invalid-email,Pichon,France,2024-03-17,1971-04-28,+33 2 90 17 63 07
CUST0007,Noémi,Masse,valentinchristophe@example.net,BrunelBourg,France,2023-09-07,1991-04-20,+33 1 77 90 14 15
CUST0008,Émilie,Normand,bernarddidier@example.com,Masson,France,2026-02-27,1975-09-30,0339290917
CUST0009,Bernadette,Moreau,audreyvidal@example.net,Saint Alphonse-les-Bains,France,2024-04-23,2002-03-22,03 44 00 66 60
CUST0010,Matthieu,Michel,honore23@example.com,Rolland,France,2025-12-27,1971-11-11,+33 2 62 21 63 84
CUST0011,Manon,Legrand,mathildegarcia@example.com,Chauvin-la-Forêt,France,2026-02-14,2005-03-26,+33 2 78 61 08 18
CUST0012,Patricia,Lucas,hlagarde@example.com,Sainte Brigitte,France,2023-08-23,1973-02-18,0329491926
CUST0013,Matthieu,Guillou,,Benoit,France,2024-05-17,1994-02-15,+33 (0)2 55 87 11 10
CUST0014,Julien,Seguin,susanolivier@example.net,Guérin-sur-Maréchal,France,2024-03-05,1981-05-02,0457402239
CUST0015,Suzanne,Costa,laetitiaroy@example.com,Saint Zoé,France,2025-04-26,1984-01-11,0177901017
CUST0016,François,Pierre,eguillet@example.org,Dias-sur-Mer,France,2023-10-04,1992-08-16,+33 (0)5 94 13 54 61
CUST0017,Chantal,Dias,peltieralfred@example.com,Guibert,France,2023-12-25,1976-09-24,+33 (0)4 32 24 98 99
CUST0018,Marguerite,Lefebvre,iweiss@example.net,Bernier-sur-Mer,France,2024-08-15,1985-08-14,0489720387
CUST0019,Margot,Andre,susanne35@example.com,Langlois,France,2025-10-16,1974-06-15,06 64 93 43 81
CUST0020,Marguerite,Chevallier,zacharie65@example.org,Bessonnec,France,2024-05-02,1983-09-21,0484370022
CUST0021,Noémi,Colas,michaudelisabeth@example.net,Hardy,France,2024-09-29,1969-11-20,0489945356
CUST0022,Adèle,Aubert,morenoguillaume@example.com,Blanc,France,2024-09-23,1980-06-25,04 72 01 87 84
CUST0023,Hortense,Millet,adrienne45@example.com,Saint Margaud,France,2026-02-16,1972-04-09,+33 5 62 44 96 19
CUST0024,Marthe,Bruneau,honoregay@example.net,Chartier,France,2026-01-15,1998-12-08,0180004999
CUST0025,Camille,Roy,adele29@example.net,Mace,France,2025-04-09,2003-12-11,+33 (0)3 44 35 55 00
CUST0025,Henri,Colas,gabrielruiz@example.com,Saint Virginie-les-Bains,France,2024-08-05,1993-03-19,02 90 31 85 88
CUST0027,Claire,Benoit,npelletier@example.net,Delattre,France,2023-11-13,1987-10-02,01 53 92 62 09
CUST0028,Adrien,Denis,nraynaud@example.org,Briand,France,2024-07-07,1978-04-07,+33 4 78 91 67 05
CUST0029,Julie,Lesage,fontainemartine@example.com,Guibert,France,2025-02-23,2001-11-21,05 31 52 22 20
CUST0030,Marc,Courtois,perezmarc@example.org,Millet,France,2024-12-27,1969-08-28,0238475117
CUST0031,Théodore,Lemaître,bourgeoischristiane@example.com,Gérard,France,2024-06-20,1976-08-24,0581783304
CUST0032,Gabrielle,Le Goff,honoresimon@example.org,Lacombe-la-Forêt,France,2024-06-28,1996-12-27,+33 1 46 84 87 72
CUST0033,Louise,Dos Santos,alain62@example.com,Collin,France,2025-07-14,2003-05-19,+33 5 59 61 65 29
CUST0034,Claudine,Fernandes,guillotcatherine@example.net,Marty-les-Bains,France,2025-03-21,1995-10-19,05 16 02 44 87
CUST0035,Isaac,Lemoine,pierredavid@example.net,Saint CapucineBourg,France,2026-02-11,1968-02-04,+33 (0)3 55 74 88 65
CUST0036,Mathilde,Pages,nfrancois@example.com,Gosselin,France,2023-07-15,1992-03-27,+33 7 88 38 59 72
CUST0037,Paul,Vaillant,langloisandre@example.org,Gérard,France,2024-04-20,1973-02-14,02 22 21 44 31
CUST0038,Catherine,Auger,bernardroy@example.com,Joseph,France,2025-04-13,1983-03-17,+33 2 79 20 34 22
CUST0039,Julie,Marchal,blanchardmargaud@example.org,De Sousa,France,2023-06-12,1983-07-04,03 52 73 58 69
CUST0040,Laetitia,Couturier,lebonolivier@example.com,Guillaume-les-Bains,France,2024-07-09,1973-09-25,0437625509
CUST0041,,Bousquet,bertrandmonnier@example.com,Giraud-sur-Mer,France,2024-05-18,1970-08-26,+33 5 24 93 16 85
CUST0042,Antoine,Cordier,corinne01@example.net,MenardBourg,France,2024-06-21,2007-02-17,0218566166
CUST0043,Julie,Camus,imonnier@example.com,Sainte Alphonsenec,France,2025-10-29,1966-10-19,0243703694
CUST0044,Josette,Colin,dbouvet@example.org,PiresBourg,France,2025-12-17,1986-03-05,+33 (0)3 56 57 57 40
